order_id,user_id,order_date,status
1,4362,2020-01-01 00:00:00,Completed
2,5534,2020-01-01 01:00:00,Completed
3,8004,2020-01-01 02:00:00,Completed
4,8544,2020-01-01 03:00:00,Completed
5,9490,2020-01-01 04:00:00,Completed
6,7761,2020-01-01 05:00:00,Completed
7,4079,2020-01-01 06:00:00,Completed
8,6626,2020-01-01 07:00:00,Completed
9,4586,2020-01-01 08:00:00,Completed
10,6737,2020-01-01 09:00:00,Completed
11,157,2020-01-01 10:00:00,Completed
12,1075,2020-01-01 11:00:00,Completed
13,2253,2020-01-01 12:00:00,Completed
14,4515,2020-01-01 13:00:00,Cancelled
15,5442,2020-01-01 14:00:00,Completed
16,1949,2020-01-01 15:00:00,Completed
17,5382,2020-01-01 16:00:00,Completed
18,2559,2020-01-01 17:00:00,Completed
19,2144,2020-01-01 18:00:00,Completed
20,6512,2020-01-01 19:00:00,Completed
21,5585,2020-01-01 20:00:00,Completed
22,5840,2020-01-01 21:00:00,Completed
23,7249,2020-01-01 22:00:00,Cancelled
24,8376,2020-01-01 23:00:00,Completed
25,232,2020-01-02 00:00:00,Completed
26,4216,2020-01-02 01:00:00,Completed
27,8831,2020-01-02 02:00:00,Completed
28,447,2020-01-02 03:00:00,Completed
29,8300,2020-01-02 04:00:00,Completed
30,8648,2020-01-02 05:00:00,Completed
31,1374,2020-01-02 06:00:00,Completed
32,3628,2020-01-02 07:00:00,Returned
33,4481,2020-01-02 08:00:00,Completed
34,5636,2020-01-02 09:00:00,Cancelled
35,3589,2020-01-02 10:00:00,Completed
36,8069,2020-01-02 11:00:00,Cancelled
37,8837,2020-01-02 12:00:00,Completed
38,2872,2020-01-02 13:00:00,Completed
39,8496,2020-01-02 14:00:00,Completed
40,2297,2020-01-02 15:00:00,Completed
41,6324,2020-01-02 16:00:00,Cancelled
42,594,2020-01-02 17:00:00,Completed
43,8079,2020-01-02 18:00:00,Completed
44,3851,2020-01-02 19:00:00,Completed
45,1458,2020-01-02 20:00:00,Completed
46,9430,2020-01-02 21:00:00,Cancelled
47,5319,2020-01-02 22:00:00,Completed
48,5091,2020-01-02 23:00:00,Completed
49,1864,2020-01-03 00:00:00,Completed
50,9319,2020-01-03 01:00:00,Completed
51,5477,2020-01-03 02:00:00,Completed
52,4013,2020-01-03 03:00:00,Completed
53,2117,2020-01-03 04:00:00,Completed
54,4438,2020-01-03 05:00:00,Completed
55,5135,2020-01-03 06:00:00,Completed
56,7185,2020-01-03 07:00:00,Cancelled
57,6409,2020-01-03 08:00:00,Completed
58,8469,2020-01-03 09:00:00,Completed
59,418,2020-01-03 10:00:00,Completed
60,121,2020-01-03 11:00:00,Cancelled
61,6144,2020-01-03 12:00:00,Completed
62,7020,2020-01-03 13:00:00,Cancelled
63,5421,2020-01-03 14:00:00,Completed
64,7313,2020-01-03 15:00:00,Cancelled
65,7409,2020-01-03 16:00:00,Cancelled
66,775,2020-01-03 17:00:00,Completed
67,1371,2020-01-03 18:00:00,Completed
68,1356,2020-01-03 19:00:00,Completed
69,4121,2020-01-03 20:00:00,Completed
70,7354,2020-01-03 21:00:00,Cancelled
71,6496,2020-01-03 22:00:00,Completed
72,976,2020-01-03 23:00:00,Completed
73,6401,2020-01-04 00:00:00,Completed
74,6519,2020-01-04 01:00:00,Completed
75,1344,2020-01-04 02:00:00,Completed
76,772,2020-01-04 03:00:00,Completed
77,28,2020-01-04 04:00:00,Returned
78,8863,2020-01-04 05:00:00,Completed
79,7747,2020-01-04 06:00:00,Completed
80,9639,2020-01-04 07:00:00,Completed
81,827,2020-01-04 08:00:00,Completed
82,2216,2020-01-04 09:00:00,Completed
83,1032,2020-01-04 10:00:00,Returned
84,7375,2020-01-04 11:00:00,Completed
85,9854,2020-01-04 12:00:00,Completed
86,2026,2020-01-04 13:00:00,Completed
87,854,2020-01-04 14:00:00,Returned
88,2666,2020-01-04 15:00:00,Completed
89,9882,2020-01-04 16:00:00,Completed
90,8945,2020-01-04 17:00:00,Completed
91,7600,2020-01-04 18:00:00,Completed
92,9121,2020-01-04 19:00:00,Completed
93,2046,2020-01-04 20:00:00,Cancelled
94,2196,2020-01-04 21:00:00,Completed
95,9876,2020-01-04 22:00:00,Cancelled
96,5310,2020-01-04 23:00:00,Returned
97,7069,2020-01-05 00:00:00,Cancelled
98,3103,2020-01-05 01:00:00,Cancelled
99,3988,2020-01-05 02:00:00,Cancelled
100,3951,2020-01-05 03:00:00,Completed
101,1966,2020-01-05 04:00:00,Cancelled
102,558,2020-01-05 05:00:00,Completed
103,3950,2020-01-05 06:00:00,Cancelled
104,2965,2020-01-05 07:00:00,Cancelled
105,1122,2020-01-05 08:00:00,Returned
106,2969,2020-01-05 09:00:00,Completed
107,2404,2020-01-05 10:00:00,Cancelled
108,429,2020-01-05 11:00:00,Completed
109,7982,2020-01-05 12:00:00,Completed
110,9408,2020-01-05 13:00:00,Completed
111,7248,2020-01-05 14:00:00,Completed
112,7315,2020-01-05 15:00:00,Completed
113,3517,2020-01-05 16:00:00,Completed
114,1645,2020-01-05 17:00:00,Completed
115,9602,2020-01-05 18:00:00,Cancelled
116,9011,2020-01-05 19:00:00,Completed
117,5074,2020-01-05 20:00:00,Completed
118,428,2020-01-05 21:00:00,Completed
119,7,2020-01-05 22:00:00,Completed
120,2845,2020-01-05 23:00:00,Completed
121,7300,2020-01-06 00:00:00,Cancelled
122,3339,2020-01-06 01:00:00,Completed
123,6549,2020-01-06 02:00:00,Completed
124,8543,2020-01-06 03:00:00,Completed
125,3510,2020-01-06 04:00:00,Cancelled
126,9907,2020-01-06 05:00:00,Cancelled
127,1683,2020-01-06 06:00:00,Completed
128,5542,2020-01-06 07:00:00,Completed
129,8146,2020-01-06 08:00:00,Returned
130,5879,2020-01-06 09:00:00,Completed
131,9453,2020-01-06 10:00:00,Completed
132,143,2020-01-06 11:00:00,Cancelled
133,1273,2020-01-06 12:00:00,Completed
134,3087,2020-01-06 13:00:00,Cancelled
135,6031,2020-01-06 14:00:00,Completed
136,5948,2020-01-06 15:00:00,Completed
137,5114,2020-01-06 16:00:00,Completed
138,8948,2020-01-06 17:00:00,Cancelled
139,6450,2020-01-06 18:00:00,Cancelled
140,113,2020-01-06 19:00:00,Completed
141,438,2020-01-06 20:00:00,Completed
